Date,Open,High,Low,Close
2021-01-03 18:00:00,12896.319,12906.189,12892.389,12896.779
2021-01-03 18:01:00,12896.827,12902.709,12887.489,12889.199
2021-01-03 18:02:00,12888.987,12888.987,12871.149,12880.399
2021-01-03 18:03:00,12880.339,12883.589,12876.409,12877.709
2021-01-03 18:04:00,12878.179,12881.819,12877.329,12877.909
2021-01-03 18:05:00,12877.867,12881.689,12876.619,12878.469
2021-01-03 18:06:00,12878.889,12882.519,12878.419,12881.239
2021-01-03 18:07:00,12881.259,12884.399,12880.819,12882.929
2021-01-03 18:08:00,12882.959,12887.699,12882.219,12887.669
2021-01-03 18:09:00,12887.719,12892.699,12886.249,12891.859
2021-01-03 18:10:00,12892.229,12896.809,12889.859,12891.939
2021-01-03 18:11:00,12892.229,12894.199,12891.899,12893.859
2021-01-03 18:12:00,12893.807,12897.409,12892.919,12894.459
2021-01-03 18:13:00,12894.769,12896.519,12893.929,12895.949
2021-01-03 18:14:00,12896.209,12896.489,12892.179,12894.199
2021-01-03 18:15:00,12894.659,12896.469,12889.809,12894.509
2021-01-03 18:16:00,12895.139,12896.199,12891.909,12893.279
2021-01-03 18:17:00,12893.189,12893.599,12889.879,12890.279
2021-01-03 18:18:00,12890.389,12893.319,12890.309,12890.619
2021-01-03 18:19:00,12890.759,12892.179,12886.829,12887.159
2021-01-03 18:20:00,12887.409,12890.199,12887.319,12889.639
2021-01-03 18:21:00,12889.489,12891.189,12889.449,12890.489
2021-01-03 18:22:00,12890.609,12890.987,12881.429,12881.509
2021-01-03 18:23:00,12881.689,12886.999,12881.669,12883.689
2021-01-03 18:24:00,12883.329,12887.309,12882.359,12886.259
2021-01-03 18:25:00,12886.389,12888.759,12886.239,12887.719
2021-01-03 18:26:00,12887.759,12891.999,12887.649,12890.849
2021-01-03 18:27:00,12890.867,12892.199,12888.799,12890.359
2021-01-03 18:28:00,12890.429,12891.999,12888.399,12889.167
2021-01-03 18:29:00,12888.939,12889.639,12886.759,12889.639
2021-01-03 18:30:00,12890.269,12891.509,12887.119,12888.389
2021-01-03 18:31:00,12888.689,12889.299,12884.979,12887.249
2021-01-03 18:32:00,12887.349,12888.367,12886.719,12886.949
2021-01-03 18:33:00,12886.959,12888.189,12886.669,12887.639
2021-01-03 18:34:00,12887.869,12888.889,12887.149,12887.209
2021-01-03 18:35:00,12886.959,12888.399,12886.919,12887.159
2021-01-03 18:36:00,12886.729,12887.699,12880.719,12881.619
2021-01-03 18:37:00,12881.969,12883.019,12876.279,12876.709
2021-01-03 18:38:00,12876.729,12880.999,12876.729,12880.689
2021-01-03 18:39:00,12880.637,12883.299,12877.359,12877.849
2021-01-03 18:40:00,12877.817,12881.389,12877.729,12880.689
2021-01-03 18:41:00,12880.629,12881.639,12873.769,12873.899
2021-01-03 18:42:00,12873.979,12877.659,12873.499,12875.809
2021-01-03 18:43:00,12875.869,12877.409,12872.789,12872.819
2021-01-03 18:44:00,12872.419,12875.779,12869.919,12875.379
2021-01-03 18:45:00,12875.709,12877.709,12873.839,12873.839
2021-01-03 18:46:00,12874.189,12875.519,12870.829,12875.499
2021-01-03 18:47:00,12875.417,12875.969,12867.199,12869.729
2021-01-03 18:48:00,12869.749,12870.809,12864.209,12864.669
2021-01-03 18:49:00,12864.679,12865.689,12862.929,12863.329
2021-01-03 18:50:00,12863.507,12864.089,12858.639,12863.699
2021-01-03 18:51:00,12863.629,12865.389,12863.179,12865.149
2021-01-03 18:52:00,12865.269,12866.499,12854.839,12858.309
2021-01-03 18:53:00,12858.479,12861.099,12858.429,12860.859
2021-01-03 18:54:00,12860.799,12863.599,12860.669,12861.879
2021-01-03 18:55:00,12861.877,12863.389,12857.109,12857.759
2021-01-03 18:56:00,12858.379,12862.409,12858.339,12862.399
2021-01-03 18:57:00,12861.869,12863.309,12861.399,12861.849
2021-01-03 18:58:00,12861.949,12864.499,12861.949,12864.439
2021-01-03 18:59:00,12864.739,12866.699,12864.419,12866.109
2021-01-03 19:00:00,12866.489,12868.497,12863.629,12864.449
2021-01-03 19:01:00,12864.399,12864.499,12845.999,12851.379
2021-01-03 19:02:00,12851.909,12857.189,12851.269,12855.779
2021-01-03 19:03:00,12855.459,12858.999,12855.229,12857.679
2021-01-03 19:04:00,12858.399,12859.099,12855.289,12855.839
2021-01-03 19:05:00,12856.509,12857.699,12852.259,12854.329
2021-01-03 19:06:00,12853.679,12853.889,12851.169,12852.739
2021-01-03 19:07:00,12852.747,12854.309,12848.769,12852.219
2021-01-03 19:08:00,12852.329,12853.827,12850.229,12851.679
2021-01-03 19:09:00,12851.509,12852.989,12849.419,12852.509
2021-01-03 19:10:00,12852.709,12854.799,12852.119,12853.827
2021-01-03 19:11:00,12853.999,12856.199,12853.309,12854.659
2021-01-03 19:12:00,12854.809,12857.499,12854.179,12854.929
2021-01-03 19:13:00,12855.399,12857.189,12854.707,12855.199
2021-01-03 19:14:00,12855.439,12855.469,12854.009,12854.659
2021-01-03 19:15:00,12854.289,12856.999,12854.289,12854.519
2021-01-03 19:16:00,12854.319,12855.689,12851.979,12853.439
2021-01-03 19:17:00,12853.719,12853.999,12843.819,12848.299
2021-01-03 19:18:00,12848.459,12850.699,12846.639,12846.779
2021-01-03 19:19:00,12846.709,12849.809,12845.917,12849.209
2021-01-03 19:20:00,12849.419,12852.189,12848.339,12850.749
2021-01-03 19:21:00,12850.889,12850.889,12847.819,12850.369
2021-01-03 19:22:00,12850.309,12850.909,12848.319,12848.639
2021-01-03 19:23:00,12848.349,12848.729,12845.459,12847.399
2021-01-03 19:24:00,12846.499,12848.989,12846.149,12847.319
2021-01-03 19:25:00,12847.719,12849.709,12846.819,12849.709
2021-01-03 19:26:00,12849.749,12853.599,12849.449,12852.789
2021-01-03 19:27:00,12852.879,12854.689,12852.449,12854.209
2021-01-03 19:28:00,12853.899,12854.259,12853.289,12853.859
2021-01-03 19:29:00,12853.939,12855.289,12852.729,12854.199
2021-01-03 19:30:00,12854.959,12856.489,12854.319,12854.889
2021-01-03 19:31:00,12855.169,12855.369,12851.939,12852.709
2021-01-03 19:32:00,12852.819,12852.909,12843.789,12844.639
2021-01-03 19:33:00,12844.679,12850.599,12844.489,12849.479
2021-01-03 19:34:00,12849.209,12849.219,12847.219,12848.119
2021-01-03 19:35:00,12847.889,12849.019,12846.919,12849.019
2021-01-03 19:36:00,12848.979,12850.899,12848.949,12849.859
2021-01-03 19:37:00,12850.209,12850.389,12847.929,12848.769
2021-01-03 19:38:00,12848.849,12849.399,12836.919,12841.399
2021-01-03 19:39:00,12842.289,12845.489,12838.929,12842.769
2021-01-03 19:40:00,12842.949,12842.949,12834.519,12837.709
2021-01-03 19:41:00,12837.759,12841.599,12837.609,12840.919
2021-01-03 19:42:00,12841.149,12841.399,12840.409,12841.269
2021-01-03 19:43:00,12841.899,12844.819,12841.839,12842.989
2021-01-03 19:44:00,12842.789,12844.189,12842.629,12843.159
